Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.3609727031942207,-0.5804380150608259,-0.1415073913276155,0.0012653951033243299,"v2 algorithmic
(75 countries)",1740,0.8517
log_HCI,0.22978493697867575,0.05732037894532965,0.40224949501202184,0.00901780835796788,"v2 algorithmic
(75 countries)",1740,0.8517
log_GFCF,0.018173519775851913,-0.0036476454027274327,0.03999468495443126,0.10260900560075784,"v2 algorithmic
(75 countries)",1740,0.8517
Political stability — estimate,0.013103082854449659,-0.012237651113542254,0.03844381682244157,0.31084519856204607,"v2 algorithmic
(75 countries)",1740,0.8517
Rule of law index,0.058508718254698056,-0.02006236302873575,0.13707979953813187,0.14442583442869059,"v2 algorithmic
(75 countries)",1740,0.8517
Trade (% of GDP),7.120625671199317e-05,-0.0006251457152876602,0.0007675582287116466,0.8411534258130675,"v2 algorithmic
(75 countries)",1740,0.8517
log_Prod,-0.005902907882922823,-0.014918364844252938,0.003112549078407291,0.1993888986147967,"v2 algorithmic
(75 countries)",1740,0.8517
HCI_x_Prod,0.005129796679863796,-0.027690339256938368,0.03794993261666596,0.759343552828758,"v2 algorithmic
(75 countries)",1740,0.8517
GFCF_x_Prod,0.0018513892394472937,-0.010030212331421512,0.0137329908103161,0.7600605532805411,"v2 algorithmic
(75 countries)",1740,0.8517
ECI_lag1,0.8898067412911501,0.8337860326613611,0.9458274499209391,9.127567177471144e-213,"v2 algorithmic
(75 countries)",1740,0.8517
