operator,month,zone_class,trips,sum_base_fare,sum_driver_pay,sum_tips,sum_cbd_fee,sum_miles,sum_time_s
uber,2018-01-01,airport,124269,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-01-01,buffer,180073,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-01-01,cbd,1512787,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-01-01,outer_borough,2184960,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-01-01,upper_manhattan,508992,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-02-01,airport,81328,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-02-01,buffer,132638,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-02-01,cbd,1137647,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-02-01,outer_borough,1495823,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-02-01,upper_manhattan,371688,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-03-01,airport,98389,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-03-01,buffer,146963,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-03-01,cbd,1239297,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-03-01,outer_borough,1857901,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-03-01,upper_manhattan,416886,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-04-01,airport,104466,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-04-01,buffer,150132,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-04-01,cbd,1242042,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-04-01,outer_borough,1926977,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-04-01,upper_manhattan,432898,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-05-01,airport,119278,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-05-01,buffer,165372,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-05-01,cbd,1335052,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-05-01,outer_borough,2106928,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-05-01,upper_manhattan,464442,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-06-01,airport,123207,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-06-01,buffer,156527,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-06-01,cbd,1335216,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-06-01,outer_borough,2193294,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-06-01,upper_manhattan,447730,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-07-01,airport,130416,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-07-01,buffer,167205,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-07-01,cbd,1444822,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-07-01,outer_borough,2456379,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-07-01,upper_manhattan,478781,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-08-01,airport,146187,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-08-01,buffer,165190,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-08-01,cbd,1461807,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-08-01,outer_borough,2525217,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-08-01,upper_manhattan,480164,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-09-01,airport,140597,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-09-01,buffer,172165,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-09-01,cbd,1477981,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-09-01,outer_borough,2452729,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-09-01,upper_manhattan,489389,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-10-01,airport,150591,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-10-01,buffer,186704,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-10-01,cbd,1517638,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-10-01,outer_borough,2467671,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-10-01,upper_manhattan,508569,0.0,0.0,0.0,0.0,0.0,0.0
uber,2018-11-01,airport,149985,0.0,0.0,0.0,0.0,0.0,0.0
