month,operator,margin,n
2019-02-01,Uber,-0.11328440945363798,57826
2019-02-01,Lyft,0.19893618599117852,38796
2019-03-01,Uber,-0.21969576062785942,58731
2019-03-01,Lyft,0.1726862855409153,39243
2019-04-01,Uber,-0.12109017964820101,58602
2019-04-01,Lyft,0.18520847191781964,39131
2019-05-01,Uber,-0.026678533993193514,58788
2019-05-01,Lyft,0.17629895037256857,39244
2019-06-01,Uber,0.038234881403222384,57986
2019-06-01,Lyft,0.17947239967106215,39109
2019-07-01,Uber,0.012541267466893697,55628
2019-07-01,Lyft,0.19976776668596571,39114
2019-08-01,Uber,-0.0014908822109848461,57764
2019-08-01,Lyft,0.22980296553057397,38881
2019-09-01,Uber,0.028312515696350665,58258
2019-09-01,Lyft,0.20505405745388702,39165
2019-10-01,Uber,0.05568729618457324,59153
2019-10-01,Lyft,0.21382996837378795,38896
2019-11-01,Uber,-0.074286344136714,58290
2019-11-01,Lyft,0.21542440220153242,38917
2019-12-01,Uber,-0.009871517526235133,57915
2019-12-01,Lyft,0.19655752023764786,38530
2020-01-01,Uber,0.0738181764985713,57178
2020-01-01,Lyft,0.21890112080808952,39212
2020-02-01,Uber,-0.059283114337469855,57275
2020-02-01,Lyft,0.23262459086097503,39288
2020-03-01,Uber,-0.05447310447764808,57388
2020-03-01,Lyft,0.21167470468211114,38628
2020-04-01,Uber,0.19807381718858588,56040
2020-04-01,Lyft,0.19950905312799813,37748
2020-05-01,Uber,0.2170445425804163,55133
2020-05-01,Lyft,0.22273052481444724,37826
2020-06-01,Uber,0.16620532861419546,56167
2020-06-01,Lyft,0.18673133407911846,37647
2020-07-01,Uber,0.0838754399650828,57264
2020-07-01,Lyft,0.20929285403810072,38179
2020-08-01,Uber,0.13096669143896558,56331
2020-08-01,Lyft,0.19750244440093195,38103
2020-09-01,Uber,0.12028973020858556,56482
2020-09-01,Lyft,0.2290129901477486,37773
2020-10-01,Uber,0.15427436587366128,55114
2020-10-01,Lyft,0.22717363866939166,38582
2020-11-01,Uber,0.1892916540353464,57647
2020-11-01,Lyft,0.23891359194848888,37648
2020-12-01,Uber,0.17565518337718328,56904
2020-12-01,Lyft,0.2118407252510095,38531
2021-01-01,Uber,0.16704742430990227,56134
2021-01-01,Lyft,0.2208512124311902,38644
2021-02-01,Uber,0.08836225063610789,53800
2021-02-01,Lyft,0.19831840297679032,38345
2021-03-01,Uber,0.13014222105395415,54515
2021-03-01,Lyft,0.20292198102722853,38080
2021-04-01,Uber,0.16240707225838794,58020
2021-04-01,Lyft,0.24842824696579185,38841
2021-05-01,Uber,0.14265122191591012,56859
2021-05-01,Lyft,0.22608003916060465,38785
2021-06-01,Uber,0.13815378825951607,57592
2021-06-01,Lyft,0.2465771183422958,38646
2021-07-01,Uber,0.14597459714663255,58444
2021-07-01,Lyft,0.23911645970011433,38923
2021-08-01,Uber,0.13175684361657466,57634
2021-08-01,Lyft,0.2688247783147328,38601
2021-09-01,Uber,0.1121351081862589,56977
2021-09-01,Lyft,0.2711834907407571,38390
2021-10-01,Uber,0.09043982179584605,55686
2021-10-01,Lyft,0.24802119153462132,38343
2021-11-01,Uber,0.13646616546523332,55408
2021-11-01,Lyft,0.24870804839107583,38651
2021-12-01,Uber,0.15545072280575167,56580
2021-12-01,Lyft,0.2913724462846708,38616
2022-01-01,Uber,0.17963821317721998,57827
2022-01-01,Lyft,0.2341834766606074,38629
2022-02-01,Uber,0.22216298227264603,57720
2022-02-01,Lyft,0.21653842663024098,38749
2022-03-01,Uber,0.177555968356264,57961
2022-03-01,Lyft,0.19887061993530344,38716
2022-04-01,Uber,0.19349369493214089,57335
2022-04-01,Lyft,0.22510051453890034,38669
2022-05-01,Uber,0.1821213436591523,58312
2022-05-01,Lyft,0.23161657173906397,39085
2022-06-01,Uber,0.16003006622787255,56791
2022-06-01,Lyft,0.2389309172377433,38670
2022-07-01,Uber,0.19671199655089888,58453
2022-07-01,Lyft,0.17778433097569848,38831
2022-08-01,Uber,0.22013615773334871,56783
2022-08-01,Lyft,0.20448054746585137,39011
2022-09-01,Uber,0.18546132595161868,57540
2022-09-01,Lyft,0.18772202583171285,39028
2022-10-01,Uber,0.14953783697854672,58321
2022-10-01,Lyft,0.18856467018899187,38368
2022-11-01,Uber,0.19361662278206088,56908
2022-11-01,Lyft,0.20629536843060847,38770
2022-12-01,Uber,0.21427775691311615,58860
2022-12-01,Lyft,0.19424824488836287,38374
2023-01-01,Uber,0.1968205295428533,54030
2023-01-01,Lyft,0.2289815747925681,38373
2023-02-01,Uber,0.18299064918476834,57162
2023-02-01,Lyft,0.21892349087740554,38645
2023-03-01,Uber,0.2059228913423981,56838
2023-03-01,Lyft,0.17652670910914736,38782
2023-04-01,Uber,0.19808300124581618,58430
2023-04-01,Lyft,0.19659535806838133,39173
2023-05-01,Uber,0.20035868844023455,58523
2023-05-01,Lyft,0.1779072705588066,38517
2023-06-01,Uber,0.228060012546153,58626
2023-06-01,Lyft,0.19378863111501107,38244
2023-07-01,Uber,0.21183475451755188,57446
2023-07-01,Lyft,0.19534467773385622,38965
2023-08-01,Uber,0.20649939924506922,55299
2023-08-01,Lyft,0.19048431718745057,38938
2023-09-01,Uber,0.20466138256931815,56847
2023-09-01,Lyft,0.18134099158441858,38360
2023-10-01,Uber,0.22104454825676612,57732
2023-10-01,Lyft,0.19365874900978103,38752
2023-11-01,Uber,0.21910719710741924,57314
2023-11-01,Lyft,0.21069071382168286,38083
2023-12-01,Uber,0.2443236364598806,57233
2023-12-01,Lyft,0.19126318415638616,39253
2024-01-01,Uber,0.24367649825716875,57894
2024-01-01,Lyft,0.24545389295980088,38899
2024-02-01,Uber,0.19063458688440257,56886
2024-02-01,Lyft,0.24200271614406282,37848
2024-03-01,Uber,0.24801224440380196,56876
2024-03-01,Lyft,0.24083287001481982,38757
2024-04-01,Uber,0.22196111988907785,56497
2024-04-01,Lyft,0.228922806719944,38656
2024-05-01,Uber,0.2280693490196761,58258
2024-05-01,Lyft,0.25018256298101343,38478
2024-06-01,Uber,0.20748262093439154,57928
2024-06-01,Lyft,0.26144044624011975,38341
2024-07-01,Uber,0.20916555104929307,57629
2024-07-01,Lyft,0.24826726418010503,38418
2024-08-01,Uber,0.2294827001466798,58146
2024-08-01,Lyft,0.24111613278079963,39043
2024-09-01,Uber,0.20065224807834678,55314
2024-09-01,Lyft,0.24087393510583482,38842
2024-10-01,Uber,0.20381260962140613,57156
2024-10-01,Lyft,0.22757120441250786,39426
2024-11-01,Uber,0.2063282599518392,56452
2024-11-01,Lyft,0.24264880502244202,39063
2024-12-01,Uber,0.17277661769243052,58152
2024-12-01,Lyft,0.2595519652729765,38841
2025-01-01,Uber,0.2161195313350344,58563
2025-01-01,Lyft,0.2310107793511816,38530
2025-02-01,Uber,0.2454484057438639,56592
2025-02-01,Lyft,0.23995581131368046,39033
2025-03-01,Uber,0.2795273292166331,57990
