zone_class,operator,trip_pph,eff_pph,n
cbd,Uber,64.34856644089717,53.52875709790987,503576
outer,Uber,60.26629657903716,47.01716426087891,717659
buffer,Uber,65.86416674802666,54.72169164718813,83168
upper_manhattan,Uber,63.69170381468656,50.64282117890211,121653
airport,Uber,73.9007460900586,62.89075847334271,156589
outer,Lyft,58.918116515664856,44.765941518669,237950
cbd,Lyft,59.96845163678059,48.72179169819826,164442
upper_manhattan,Lyft,62.139611272112326,48.187429095584115,42091
buffer,Lyft,59.552557348150756,48.873848939988584,26459
airport,Lyft,71.72425954062857,62.65907114865288,51074
