month,operator,pph,n
2019-02-01,Uber,50.19445146222092,57826
2019-02-01,Lyft,50.752844024810116,38796
2019-03-01,Uber,50.50449267243057,58731
2019-03-01,Lyft,51.71484225606251,39243
2019-04-01,Uber,51.136346209912084,58602
2019-04-01,Lyft,51.55453770912256,39131
2019-05-01,Uber,55.0047871632607,58788
2019-05-01,Lyft,53.39741724943633,39244
2019-06-01,Uber,52.751987299993026,57986
2019-06-01,Lyft,49.41209604852404,39109
2019-07-01,Uber,52.96559775604461,55628
2019-07-01,Lyft,50.2336167650352,39114
2019-08-01,Uber,53.28772726935954,57764
2019-08-01,Lyft,50.09176407966463,38881
2019-09-01,Uber,51.47437349404607,58258
2019-09-01,Lyft,49.34153443462998,39165
2019-10-01,Uber,50.897312046275786,59153
2019-10-01,Lyft,49.80616209717715,38896
2019-11-01,Uber,50.45762347004127,58290
2019-11-01,Lyft,49.72131426209231,38917
2019-12-01,Uber,54.608265922594356,57915
2019-12-01,Lyft,54.05606644854532,38530
2020-01-01,Uber,52.09726288228229,57178
2020-01-01,Lyft,52.363886568243984,39212
2020-02-01,Uber,51.82451279744103,57275
2020-02-01,Lyft,50.85400858887918,39288
2020-03-01,Uber,54.25443052203597,57388
2020-03-01,Lyft,52.682766877370476,38628
2020-04-01,Uber,59.3952831012886,56040
2020-04-01,Lyft,55.71962369800178,37748
2020-05-01,Uber,54.80181340094404,55133
2020-05-01,Lyft,53.14651424533341,37826
2020-06-01,Uber,61.685062277027626,56167
2020-06-01,Lyft,54.73700657883297,37647
2020-07-01,Uber,68.69378055187502,57264
2020-07-01,Lyft,55.814804594906754,38179
2020-08-01,Uber,57.003212936394775,56331
2020-08-01,Lyft,50.30356756193138,38103
2020-09-01,Uber,54.54472673437426,56482
2020-09-01,Lyft,50.645837845094775,37773
2020-10-01,Uber,52.65211456314845,55114
2020-10-01,Lyft,49.85351842342992,38582
2020-11-01,Uber,53.78363433246956,57647
2020-11-01,Lyft,50.20790000047981,37648
2020-12-01,Uber,53.172739947465985,56904
2020-12-01,Lyft,50.94882781334939,38531
2021-01-01,Uber,54.16459070048456,56134
2021-01-01,Lyft,51.85373390676129,38644
2021-02-01,Uber,66.12394310694688,53800
2021-02-01,Lyft,55.42398814687297,38345
2021-03-01,Uber,62.99834080832472,54515
2021-03-01,Lyft,55.05602965714598,38080
2021-04-01,Uber,61.79218883138631,58020
2021-04-01,Lyft,54.54846346453694,38841
2021-05-01,Uber,66.06254557796659,56859
2021-05-01,Lyft,58.05442995619373,38785
2021-06-01,Uber,70.98737923001175,57592
2021-06-01,Lyft,60.48792907587438,38646
2021-07-01,Uber,69.8220346035709,58444
2021-07-01,Lyft,57.86618388510686,38923
2021-08-01,Uber,66.94106840834141,57634
2021-08-01,Lyft,54.32896798835849,38601
2021-09-01,Uber,74.4829280802687,56977
2021-09-01,Lyft,56.029846860124245,38390
2021-10-01,Uber,64.77719497483578,55686
2021-10-01,Lyft,51.75872372229212,38343
2021-11-01,Uber,62.73121811740058,55408
2021-11-01,Lyft,52.10135899232404,38651
2021-12-01,Uber,63.05347526852037,56580
2021-12-01,Lyft,53.373446887806786,38616
2022-01-01,Uber,58.00709454730116,57827
2022-01-01,Lyft,51.47535433649271,38629
2022-02-01,Uber,57.94306272307897,57720
2022-02-01,Lyft,51.95193631575315,38749
2022-03-01,Uber,61.642988487329866,57961
