operator,zone_class,n,p10,p25,p50,p75,p90,mean
Uber,airport,158077,55.0,140.0,270.0,451.0,657.0,329.6439519980769
Uber,cbd,513330,40.0,82.0,150.0,256.0,402.0,195.4816628679407
Uber,buffer,84683,43.0,83.0,144.0,229.0,340.0,175.90919074666698
Uber,upper_manhattan,123170,60.0,106.0,177.0,283.0,439.0,223.59559145895915
Uber,outer,725834,67.0,115.0,185.0,293.0,450.0,231.98772722137568
Lyft,airport,51598,24.0,45.0,230.0,422.0,694.0,294.7972983448971
Lyft,cbd,168192,63.0,118.0,196.0,300.0,439.0,232.60636058789953
Lyft,buffer,27064,65.0,119.0,189.0,274.0,382.0,213.1754729530003
Lyft,upper_manhattan,42942,80.0,136.0,215.0,323.0,463.0,252.41050719575242
Lyft,outer,242510,86.0,142.0,217.0,322.0,459.0,254.75064945775432
