year,zone_class,frac_neg,n
2019,cbd,0.3158459434258672,213744
2019,outer,0.42416014478387865,278058
2019,buffer,0.29785518810603473,35884
2019,upper_manhattan,0.45678722455663406,52449
2019,airport,0.2595271651297134,58806
2020,outer,0.24563421745707342,348795
2020,cbd,0.18764616790077046,200611
2020,airport,0.11829666595361152,32602
2020,buffer,0.17363844093244743,30350
2020,upper_manhattan,0.2527275408699266,66565
2021,outer,0.1841495906236638,318413
2021,cbd,0.19720866836441625,219826
2021,upper_manhattan,0.2057524530949463,55516
2021,buffer,0.18472045476176752,36466
2021,airport,0.16796554796203525,47428
2022,outer,0.1035829502501118,297263
2022,cbd,0.1043131366732817,238980
2022,upper_manhattan,0.12422041381038006,51276
2022,buffer,0.10019661698924827,39713
2022,airport,0.09260057581088606,65579
2023,outer,0.12555106956259254,296071
2023,cbd,0.08093192134604198,230752
2023,upper_manhattan,0.13916811912703494,51032
2023,buffer,0.06738635518125974,38948
2023,airport,0.11353186953491597,68677
2024,cbd,0.08767710011621631,223694
2024,outer,0.16564670987980679,306538
2024,buffer,0.07104152445369083,36670
2024,upper_manhattan,0.19221981909186608,52360
2024,airport,0.09587488603359023,67926
2025,airport,0.09872860520535,68630
2025,outer,0.19581256355269916,313812
2025,cbd,0.08662760256620347,218693
2025,upper_manhattan,0.21916987990846265,53867
2025,buffer,0.07190182562977995,36596
2026,outer,0.22178078891856573,105484
2026,cbd,0.09849395188785572,70943
2026,upper_manhattan,0.23693803710236172,16943
2026,buffer,0.08854645871347346,11417
2026,airport,0.09146322858542086,21521
