month,operator,n_sampled,weight_sum,weight_mean,weight_max,ess
2019-02-01,Lyft,38796,3494115.0495200255,90.06379651304324,158.0342979635584,31866.313851816547
2019-02-01,Uber,57826,13224459.775352586,228.69400918881794,384.5925093632959,48152.25236912457
2019-03-01,Lyft,39243,3534881.2775033494,90.07673413101315,149.83529411764707,32713.9096658944
2019-03-01,Uber,58731,16995423.076105535,289.3773829171227,478.8315132605304,48652.34284801678
2019-04-01,Lyft,39131,3264320.797006835,83.42032651879163,143.2070534698521,32372.469450874978
2019-04-01,Uber,58602,15418195.405429834,263.1001570838851,449.23071104387293,48359.035857848015
2019-05-01,Lyft,39244,3557333.645925452,90.64656115394588,157.5453514739229,32600.90758621065
2019-05-01,Uber,58788,15659711.54550958,266.37598737003435,452.5571870170015,48771.34420988919
2019-06-01,Lyft,39109,3779430.4546618946,96.6383813102328,170.50890868596883,32285.911099173616
2019-06-01,Uber,57986,14140117.269113068,243.85398663665484,401.1577287066246,48482.07045207835
2019-07-01,Lyft,39114,3518451.656934423,89.9537673706198,155.52907639680728,32516.298451898965
2019-07-01,Uber,55628,12877110.820954585,231.48613685472398,380.04783599088836,46777.46605692364
2019-08-01,Lyft,38881,3425729.493170863,88.10806031662928,146.00238379022645,32592.068401944154
2019-08-01,Uber,57764,11436965.30732701,197.99469059149314,314.98801597869505,48533.08880080405
2019-09-01,Lyft,39165,3336082.7412969866,85.18020531844725,142.9672514619883,32576.04950539779
2019-09-01,Uber,58258,13738940.837902557,235.8292567184345,389.8235753317721,48656.44943202221
2019-10-01,Lyft,38896,3831094.234359384,98.49584107258804,161.14302741358762,32528.518275795082
2019-10-01,Uber,59153,14318378.803024003,242.056680185688,392.0138662316476,49165.37415701214
2019-11-01,Lyft,38917,3657580.793990207,93.9841404525068,155.48047337278106,32675.392518785182
2019-11-01,Uber,58290,15380369.490991242,263.8594868929704,446.7633760361718,48244.070441114076
2019-12-01,Lyft,38530,3954610.297990985,102.63717357879536,168.8225616921269,32206.325906176615
2019-12-01,Uber,57915,15838189.857222369,273.4730183410579,462.12780269058294,47687.09708437315
2020-01-01,Lyft,39212,3935511.8718376122,100.36498704064093,168.71176470588236,32681.098256190096
2020-01-01,Uber,57178,14300986.885764346,250.11345072867792,426.53367875647666,47688.56120098264
2020-02-01,Lyft,39288,4027414.102495229,102.51003111624998,165.08078335373318,32848.32366174173
2020-02-01,Uber,57275,15294584.922374222,267.0377114338581,451.29828486204326,47121.427205121945
2020-03-01,Lyft,38628,2644769.2802142655,68.4676731959787,136.84041630529055,30812.19042821769
2020-03-01,Uber,57388,9663977.535807602,168.39718296172722,334.6106243154436,45084.308869464774
2020-04-01,Lyft,37748,1134033.9428954816,30.042225889993684,55.28452579034942,30416.108898847357
2020-04-01,Uber,56040,2995628.733607342,53.45518796586977,98.8099084544965,44592.082332230064
