zone_id,zone,borough,latitude,longitude,total_pickups,cluster,cluster_name
2,Jamaica Bay,Queens,40.616745291659896,-73.83129854302213,4328.456216241708,3,Queens
3,Allerton/Pelham Gardens,Bronx,40.86447368477547,-73.84742223236717,3164752.3909969954,2,Bronx+UM
4,Alphabet City,Manhattan,40.7237521415848,-73.97696825691767,4713089.191793768,0,Manhattan
5,Arden Heights,Staten Island,40.55265928694566,-74.18848410184928,406100.11465494154,1,Brooklyn
6,Arrochar/Fort Wadsworth,Staten Island,40.60032414603462,-74.0717705589513,790414.885163093,1,Brooklyn
7,Astoria,Queens,40.761492562163745,-73.9196943194607,14525543.792672854,3,Queens
8,Astoria Park,Queens,40.778558653750714,-73.92308615750753,56207.385395379846,3,Queens
9,Auburndale,Queens,40.75103502557235,-73.78794887777896,1255633.7054382002,3,Queens
10,Baisley Park,Queens,40.678953310115254,-73.79098635986956,4683779.9635393405,3,Queens
11,Bath Beach,Brooklyn,40.60427284003077,-74.00748815801174,1694427.198992975,1,Brooklyn
12,Battery Park,Manhattan,40.70294583498472,-74.01556351255898,187831.52892042097,0,Manhattan
13,Battery Park City,Manhattan,40.71203815707448,-74.01607915192925,6529496.839613397,0,Manhattan
14,Bay Ridge,Brooklyn,40.62483492360826,-74.02989237418791,8064189.796600128,1,Brooklyn
15,Bay Terrace/Fort Totten,Queens,40.783333047260946,-73.78597227877704,969487.4972063304,3,Queens
16,Bayside,Queens,40.7627383754424,-73.77342181890137,2647937.45013798,3,Queens
17,Bedford,Brooklyn,40.69150749488067,-73.9499050350751,12759460.80323431,1,Brooklyn
18,Bedford Park,Bronx,40.86768245607543,-73.89018328872037,6881805.48836667,2,Bronx+UM
19,Bellerose,Queens,40.73548677976332,-73.726655375287,964754.3150578018,3,Queens
20,Belmont,Bronx,40.85777967544156,-73.88586748106962,4371910.30962245,2,Bronx+UM
21,Bensonhurst East,Brooklyn,40.601429439835144,-73.98353709672226,3843266.6842372417,1,Brooklyn
22,Bensonhurst West,Brooklyn,40.61221825780564,-73.99525857986235,5096582.845484844,1,Brooklyn
23,Bloomfield/Emerson Hill,Staten Island,40.60644770102762,-74.17088688155258,2157421.2597022867,1,Brooklyn
24,Bloomingdale,Manhattan,40.80197049389963,-73.96547951516966,2089245.0298430764,0,Manhattan
25,Boerum Hill,Brooklyn,40.68563374132065,-73.98611382213666,8278847.180696777,1,Brooklyn
26,Borough Park,Brooklyn,40.630949655245466,-73.9886612307829,7860445.849730359,1,Brooklyn
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.559133279467545,-73.90690832237583,109184.17496501836,1,Brooklyn
28,Briarwood/Jamaica Hills,Queens,40.711596357945105,-73.80872901637515,3526390.981301977,3,Queens
29,Brighton Beach,Brooklyn,40.58092197193379,-73.9612167686685,2956747.351315266,1,Brooklyn
30,Broad Channel,Queens,40.60368744213566,-73.82192695679406,71108.0366892244,3,Queens
31,Bronx Park,Bronx,40.8577466809159,-73.87547595053036,627531.2772493515,2,Bronx+UM
32,Bronxdale,Bronx,40.86400220602362,-73.86490099876723,3620187.142980139,2,Bronx+UM
33,Brooklyn Heights,Brooklyn,40.69579822121127,-73.99525011996627,7077519.329680663,0,Manhattan
34,Brooklyn Navy Yard,Brooklyn,40.70085573851716,-73.97118869233039,1240642.397718495,1,Brooklyn
35,Brownsville,Brooklyn,40.66400311792597,-73.91025783136133,9531655.534425108,1,Brooklyn
36,Bushwick North,Brooklyn,40.700522199519206,-73.91771053131582,11520627.199495962,1,Brooklyn
37,Bushwick South,Brooklyn,40.694994318442134,-73.92224002165723,16166139.1009954,1,Brooklyn
38,Cambria Heights,Queens,40.6943414672317,-73.73555427058818,1435563.217280096,3,Queens
39,Canarsie,Brooklyn,40.638037139117074,-73.8997349566939,11522819.548856769,1,Brooklyn
40,Carroll Gardens,Brooklyn,40.6791990140971,-73.99595619089148,3597470.246271445,1,Brooklyn
41,Central Harlem,Manhattan,40.80433394979462,-73.9512920024351,9823364.496603206,2,Bronx+UM
42,Central Harlem North,Manhattan,40.818257861119235,-73.94077166756267,13784276.495935464,2,Bronx+UM
43,Central Park,Manhattan,40.78247809974789,-73.96555356545912,2235280.878928918,0,Manhattan
44,Charleston/Tottenville,Staten Island,40.5254945817638,-74.23353354937646,546442.1014089171,1,Brooklyn
45,Chinatown,Manhattan,40.71245931177953,-73.99815149899052,3449499.1747266976,0,Manhattan
46,City Island,Bronx,40.84908594313967,-73.78198714613218,264961.3083049318,2,Bronx+UM
47,Claremont/Bathgate,Bronx,40.842749176098025,-73.90031590586491,5135570.719250179,2,Bronx+UM
48,Clinton East,Manhattan,40.76225275531937,-73.98984464313303,13433170.00991998,0,Manhattan
49,Clinton Hill,Brooklyn,40.68796745714746,-73.96236353818358,9118329.779392324,1,Brooklyn
50,Clinton West,Manhattan,40.76623772504189,-73.99513522075517,8266696.985187716,0,Manhattan
51,Co-Op City,Bronx,40.87397305492027,-73.82826367307186,5282717.120005548,2,Bronx+UM
52,Cobble Hill,Brooklyn,40.68665124165607,-73.99672403175195,2267302.248252926,1,Brooklyn
53,College Point,Queens,40.78091235579112,-73.84281349543191,2006055.6033721955,3,Queens
54,Columbia Street,Brooklyn,40.68720074733729,-74.0029112774529,853548.5472512951,1,Brooklyn
55,Coney Island,Brooklyn,40.57696075363776,-73.98794343407192,3770851.0644465582,1,Brooklyn
56,Corona,Queens,40.741406774829755,-73.85884524944,4370034.475327891,3,Queens
58,Country Club,Bronx,40.84145210068251,-73.8203931925278,473965.46869909967,2,Bronx+UM
59,Crotona Park,Bronx,40.83855028852789,-73.89498588493973,199028.55499455592,2,Bronx+UM
60,Crotona Park East,Bronx,40.83399047727388,-73.88590003419156,3557912.4719606624,2,Bronx+UM
61,Crown Heights North,Brooklyn,40.67446941826647,-73.93928705867958,20869427.31476229,1,Brooklyn
62,Crown Heights South,Brooklyn,40.66654040578563,-73.94878853931496,5653811.3563174745,1,Brooklyn
63,Cypress Hills,Brooklyn,40.68383976195104,-73.87817261050246,4756134.094185887,1,Brooklyn
64,Douglaston,Queens,40.760615605321455,-73.73933714992846,786550.1266137894,3,Queens
