zone_id,A_canonical,B_od_only,C_hybrid,pickups,zone_name,borough,latitude,longitude,A_canonical_name,B_od_only_name,C_hybrid_name
2,3,3,3,4328.456216241708,Jamaica Bay,Queens,40.616745291659896,-73.83129854302213,Queens,Queens,Queens
3,2,2,2,3164752.3909969954,Allerton/Pelham Gardens,Bronx,40.86447368477547,-73.84742223236717,Bronx+UM,Bronx+UM,Bronx+UM
4,0,0,0,4713089.191793768,Alphabet City,Manhattan,40.7237521415848,-73.97696825691767,Manhattan,Manhattan,Manhattan
5,1,3,1,406100.11465494154,Arden Heights,Staten Island,40.55265928694566,-74.18848410184928,Brooklyn,Queens,Brooklyn
6,1,3,1,790414.885163093,Arrochar/Fort Wadsworth,Staten Island,40.60032414603462,-74.0717705589513,Brooklyn,Queens,Brooklyn
7,0,3,3,14525543.792672854,Astoria,Queens,40.761492562163745,-73.9196943194607,Manhattan,Queens,Queens
8,2,3,3,56207.385395379846,Astoria Park,Queens,40.778558653750714,-73.92308615750753,Bronx+UM,Queens,Queens
9,3,3,3,1255633.7054382002,Auburndale,Queens,40.75103502557235,-73.78794887777896,Queens,Queens,Queens
10,3,3,3,4683779.9635393405,Baisley Park,Queens,40.678953310115254,-73.79098635986956,Queens,Queens,Queens
11,1,3,1,1694427.198992975,Bath Beach,Brooklyn,40.60427284003077,-74.00748815801174,Brooklyn,Queens,Brooklyn
12,0,0,0,187831.52892042097,Battery Park,Manhattan,40.70294583498472,-74.01556351255898,Manhattan,Manhattan,Manhattan
13,0,0,0,6529496.839613397,Battery Park City,Manhattan,40.71203815707448,-74.01607915192925,Manhattan,Manhattan,Manhattan
14,1,3,1,8064189.7966001285,Bay Ridge,Brooklyn,40.62483492360826,-74.02989237418791,Brooklyn,Queens,Brooklyn
15,3,3,3,969487.4972063304,Bay Terrace/Fort Totten,Queens,40.783333047260946,-73.78597227877704,Queens,Queens,Queens
16,3,3,3,2647937.45013798,Bayside,Queens,40.7627383754424,-73.77342181890137,Queens,Queens,Queens
17,1,1,1,12759460.80323431,Bedford,Brooklyn,40.69150749488067,-73.9499050350751,Brooklyn,Brooklyn,Brooklyn
